Instrument,Date,SourceDate,LookbackDays,REF_PE,PE_trial,REF_PCF,PCF_MktCap_div_OpCF,PCF_Price_div_CFPS_Act,PCF_Price_div_OpCFPS
MNG.L,2024-06-30,2024-06-28,2,16.1879066814791,16.68353805055013,2.82473526143106,3.2457701082242925,,3.207935238149876
MNG.L,2024-07-31,2024-07-31,0,16.8465322964609,17.473354881431277,2.93983025219896,3.3996215553054947,,3.359802380226729
MNG.L,2024-08-31,2024-08-30,1,17.0131725122996,17.654619117721015,2.96891006157068,3.434888383517833,,3.394656134223532
MNG.L,2024-09-30,2024-09-30,0,29.0761250525726,17.23467912273726,3.80647146331072,4.63904778009338,,4.604444288278459
MNG.L,2024-10-31,2024-10-31,0,27.1905229216319,15.90655312639782,3.55971719217039,4.281674118460656,,4.249620034550896
MNG.L,2024-11-30,2024-11-29,1,27.7863451563157,16.51987354574527,3.63772079138011,4.446765709641743,,4.413475693344292
MNG.L,2024-12-31,2024-12-31,0,27.7372774428712,16.545151319276417,3.66679089555821,4.4971010938408895,,4.420228943528239
MNG.L,2025-01-31,2025-01-31,0,29.2303378662554,17.252234914556695,3.86435484728605,4.689517059009299,,4.609134521545556
MNG.L,2025-02-28,2025-02-28,0,29.6649376139072,17.750892880689523,3.92245219212645,4.825852192886277,,4.742356776953592
MNG.L,2025-03-31,2025-03-31,0,,-13.164211664177417,7.04993273199411,14.224715968267782,,13.975431509651276
MNG.L,2025-04-30,2025-04-30,0,,-13.550061344482433,7.366552897678,14.642698018620955,,14.385058452584556
MNG.L,2025-05-31,2025-05-30,1,,-15.590946712292048,8.4072472077164,16.848154316693485,,16.551709552132564
MNG.L,2025-06-30,2025-06-30,0,,-16.629374519000947,9.12920098886265,17.97214212903076,,17.65412852416027
MNG.L,2025-07-31,2025-07-31,0,,-16.805198821850993,9.29284084246973,18.162628468136557,,17.84078766979674
MNG.L,2025-08-31,2025-08-29,2,,-17.01334672726861,9.41717166413886,18.387589393181113,,18.061762299364354
MNG.L,2025-09-30,2025-09-30,0,,-16.09496780183973,3.94081052814119,4.814983189845401,,4.9010576857849
MNG.L,2025-10-31,2025-10-31,0,,-16.671399134711017,4.10134242243006,4.987545259836551,,5.076586040304076
MNG.L,2025-11-30,2025-11-28,2,,-17.267689452004525,4.24309029954405,5.1659361028289394,,5.258161628308447
MNG.L,2025-12-31,2025-12-31,0,,-18.244319068076212,4.46871177637306,5.467346755925036,,5.55555384088971
NEXII.MI,2024-01-31,2024-01-31,0,431.92261185006,64.94545454545455,24.0586932302292,23.8132219261733,,25.076302265829174
NEXII.MI,2024-02-29,2024-02-29,0,409.552599758162,61.58181818181818,22.8126522874542,22.579894362807877,,23.77755760760454
NEXII.MI,2024-03-31,2024-03-28,3,355.139056831923,-7.728947368421052,19.7817418861095,8.530602280506553,,8.655444895451128
NEXII.MI,2024-04-30,2024-04-30,0,,-7.207894736842105,7.96638407988486,7.955505497551053,,8.07193175643195
NEXII.MI,2024-05-31,2024-05-31,0,,-8.013157894736842,8.85638536810858,8.844291434845927,,8.973724789461588
NEXII.MI,2024-06-30,2024-06-28,2,,-7.492105263157894,8.28548152916147,8.274167199838876,,8.39021165044241
NEXII.MI,2024-07-31,2024-07-31,0,,-7.468421052631579,8.09478817349272,5.861059190978457,,5.967795463560485
NEXII.MI,2024-08-31,2024-08-30,1,,-8.307894736842105,8.4935170332935,6.519860417871384,,6.638594178456818
NEXII.MI,2024-09-30,2024-09-30,0,,-8.01578947368421,8.19488529724802,6.29062237340394,,6.4051814594803504
NEXII.MI,2024-10-31,2024-10-31,0,,-7.634210526315789,7.4603631102408,5.726782669033578,,6.10027295270929
NEXII.MI,2024-11-30,2024-11-29,1,,-7.373684210526315,7.20576953977757,5.531349547960035,,5.892094041189738
NEXII.MI,2024-12-31,2024-12-30,1,,-7.052631578947369,6.8920279680956,5.2905127724956795,,5.635550332044432
NEXII.MI,2025-01-31,2025-01-31,0,,-6.473684210526316,6.32626447817731,4.856216947887825,,5.17293052866765
