Instrument,Date,Price Close,Company Market Cap,Outstanding Shares,Price To Cash Flow Per Share (Daily Time Series Ratio),Cash Flow,Net Cash Flow from Operating Activities,Cash Flow Per Share - Actual,Price to Cash Flow per Share,Cash Flow from Operations per Share,CALC_PCF_MktCap_div_CF,CALC_PCF_MktCap_div_OpCF,CALC_PCF_Price_div_CF_Shares,CALC_PCF_Price_div_OpCF_Shares,CALC_PCF_Price_div_CFPS_Act,CALC_PCF_Price_div_OpCFPS
RACE.MI,2024-02-21,368.9,71538378781.1,180230448,44.1504449588726,1919762000.0,1716637000.0,9.46,28.8562630159363,9.45748191569657,37.2641914888929,41.673562192298085,34.63294526467343,38.730967739364814,38.995771670190265,39.00615441703749
RACE.MI,2024-02-22,380.2,73729714319.8,180230448,45.5028440589953,1919762000.0,1716637000.0,9.46,28.8562630159363,9.45748191569657,38.40565357570366,42.95009039173687,35.693808049956196,39.917359540543515,40.19027484143763,40.200975628510854
RACE.MI,2024-02-23,386.0,74854470614.0,180210349,43.6052995560506,1919762000.0,1716637000.0,9.46,28.8562630159363,9.45748191569657,38.99153677070387,43.60529955605058,36.23428045455635,40.52178457880146,40.80338266384778,40.81424669280692
RACE.MI,2024-02-26,384.4,74544193015.6,180210349,43.4245522003778,1919762000.0,1716637000.0,9.46,28.8562630159363,9.45748191569657,38.82991382035898,43.42455220037783,36.08408654593642,40.353818632360834,40.634249471458766,40.64506846817352
RACE.MI,2024-02-27,389.2,75475025810.8,180210349,43.9667942673961,1919762000.0,1716637000.0,9.46,28.8562630159363,9.45748191569657,39.314782671393644,43.96679426739608,36.53466827179619,40.857716471682714,41.14164904862579,41.15260314207371
RACE.MI,2024-02-28,394.7,76541605055.3,180210349,44.5881133025212,1919762000.0,1716637000.0,9.46,28.8562630159363,9.45748191569657,39.87036156320419,44.58811330252115,37.05095983267718,41.43509941257237,41.723044397463,41.73415328925101
RACE.MI,2024-02-29,389.9,75610772260.1,180210349,44.0458712355029,1919762000.0,1716637000.0,9.46,28.8562630159363,9.45748191569657,39.38549271216953,44.04587123550291,36.60037810681741,40.93120157325049,41.21564482029598,41.22661861535082
RACE.MI,2024-03-01,392.3,76076188657.6999,180191180,44.316992269012,1919762000.0,1716637000.0,9.46,28.8562630159363,9.45748191569657,39.62792713768681,44.31699226901197,36.82175181819413,41.17876983543988,41.46934460887949,41.48038595230092
RACE.MI,2024-03-04,381.0,73884853119.0,180191180,43.0404640695732,1919762000.0,1716637000.0,9.46,28.8562630159363,9.45748191569657,38.4864650508761,43.04046406957324,35.76112017010442,39.99263652129134,40.27484143763213,40.28556474082755
RACE.MI,2024-03-05,380.5,73787891369.5,180191180,42.9839805209255,1919762000.0,1716637000.0,9.46,28.8562630159363,9.45748191569657,38.43595787889332,42.983980520925506,35.71418956620664,39.94015274632902,40.221987315010566,40.232696545629615
RACE.MI,2024-03-06,380.4,73768499019.6,180191180,42.9726838111959,1919762000.0,1716637000.0,9.46,28.8562630159363,9.45748191569657,38.425856444496766,42.972683811195964,35.70480344542709,39.92965599133655,40.21141649048625,40.22212290659003
