Instrument,Date,Price,MktCap,REF_PE,EPSAct_LTM,REF_PCF,OpCF,OpCFPS,CALC_PE,CALC_EP,CALC_PCF_MktCap_div_OpCF,CALC_PCF_Price_div_OpCFPS,CALC_CFP_OpCF_div_MktCap
ALEP.WA,2024-11-07,8.15377536486283,8474950008.28361,131.023422348202,0.165725106118334,9.62804611254699,760515658.792014,,49.11912870399294,0.020324953619950747,11.143689035601227,,0.08973689025288274
ALEP.WA,2024-11-08,8.02103870487533,8568248636.46607,129.233179173504,0.165725106118334,9.49649296327222,760515658.792014,,48.31951027033331,0.0206613023843911,11.266367151566193,,0.0887597560550816
ALEP.WA,2024-11-12,7.8654705400982,8317523915.00033,127.573474563628,0.165725106118334,9.37453223113207,760515658.792014,,47.382352651193976,0.021069954464067564,10.936689887768647,,0.09143534380712193
ALEP.WA,2024-11-13,8.09353130934411,8582719694.04867,130.967477248993,0.165725106118334,9.62393507663215,760515658.792014,,48.75621270689223,0.020476242048634782,11.285395106369366,,0.0886101009822518
ALEP.WA,2024-11-14,7.20959120501317,7608349989.40688,116.123377592123,0.165725106118334,8.53314021389554,760515658.792014,,43.43127231935644,0.022986754922123393,10.004198995050032,,0.09995802767365872
ALEP.WA,2024-11-15,6.75542847371507,7126614175.55076,108.719976130091,0.165725106118334,7.98911312783218,760515658.792014,,40.6953522512956,0.02453213837777419,9.370765865453071,,0.106714863476279
ALEP.WA,2024-11-18,6.6416165572521,6974115532.50001,106.780546024168,0.165725106118334,7.84659721611785,760515658.792014,,40.009738296699396,0.024952525441622457,9.170245808715547,,0.10904833096726635
ALEP.WA,2024-11-19,6.46529014580683,6867638892.76255,104.430851857377,0.165725106118334,7.67393370769472,760515658.792014,,38.94753099883632,0.025633050084506684,9.030239960701078,,0.11073902845903592
ALEP.WA,2024-11-20,6.51976892750237,6927019590.46292,105.344621811129,0.165725106118334,7.74108062763705,760515658.792014,,39.27571643073717,0.02541886191997619,9.108319480844933,,0.1097897369655324
ALEP.WA,2024-11-21,6.66119232903148,7102611730.77559,107.862151275548,0.165725106118334,7.92607724380469,760515658.792014,,40.12766463271976,0.02487919548517675,9.339205115194103,,0.10707549386329292
ALEP.WA,2024-11-22,6.6561277130757,7052372732.89761,107.470535581083,0.165725106118334,7.89729999240084,760515658.792014,,40.097154898046384,0.02489812594682845,9.273145991628155,,0.10783826771440948
ALEP.WA,2024-11-25,6.79901580921758,7098418895.17409,109.242130389378,0.165725106118334,8.02748279637066,760515658.792014,,40.95792656155168,0.024374867005553465,9.33369196690711,,0.10713874033399971
ALEP.WA,2024-11-26,6.73140086311991,7107864711.38723,107.974041473967,0.165725106118334,7.93429931563437,760515658.792014,,40.55060760915608,0.024619705390940383,9.34611224531156,,0.10699636102719032
ALEP.WA,2024-11-27,6.73094255047404,7061930206.49209,107.974041473967,0.165725106118334,7.93429931563437,760515658.792014,,40.54784668960265,0.024621381756803506,9.285713088023856,,0.10769232158268369
ALEP.WA,2024-11-28,6.62659781168736,7011940418.09287,106.314336864091,0.165725106118334,7.81233858349422,760515658.792014,,39.91926392582747,0.025009078689828417,9.219981649333135,,0.1084600857174513
ALEP.WA,2024-11-29,6.69730074836296,7054098359.45649,107.302700283455,0.165725106118334,7.88496688465633,760515658.792014,,40.34518523110217,0.024745059591185694,9.275415013362199,,0.10781188750685508
