Instrument,Date,SourceDate,LookbackDays,REF_PE,PE_trial,REF_PCF,PCF_MktCap_div_OpCF,PCF_Price_div_CFPS_Act,PCF_Price_div_OpCFPS
AIRP.PA,2025-10-31,2025-10-31,0,28.2574198444765,28.269360269360266,15.0517998377739,15.591219007360094,,15.547055295721764
AIRP.PA,2025-11-30,2025-11-28,2,27.7862384749878,27.797979797979796,14.8008396839268,15.331265064115938,,15.287814259347176
AIRP.PA,2025-12-31,2025-12-31,0,26.968402240804,26.979797979797976,14.3652131948964,14.880026802307853,,14.837845889068424
AIXGn.DE,2010-01-31,2010-01-29,2,82.235604065,82.14285714285714,48.323252723,48.32325272309855,,43.19399200154048
AIXGn.DE,2010-02-28,2010-02-26,2,81.294693263,81.203007518797,47.770355095,27.56012298566485,,25.134107673213453
AIXGn.DE,2010-03-31,2010-03-31,0,55.543965787,55.46875,34.031503536,34.03150353625613,,30.981278555523524
AIXGn.DE,2010-04-30,2010-04-30,0,32.29876014,32.61643835616438,17.472630836,17.47263083604391,,16.638929044609508
AIXGn.DE,2010-05-31,2010-05-31,0,29.768848856,30.06164383561644,16.104027035,16.10402703473268,,15.335627798570167
AIXGn.DE,2010-06-30,2010-06-30,0,26.764155295,27.027397260273975,14.51116066,14.511160659724496,,13.78773918732237
AIXGn.DE,2010-07-31,2010-07-30,1,20.539790529,20.67117117117117,14.572594423,14.572594422709562,,13.938221334100849
AIXGn.DE,2010-08-31,2010-08-31,0,17.545430132,17.65765765765766,12.448152133,12.448152132713334,,11.906260106706327
AIXGn.DE,2010-09-30,2010-09-30,0,19.514815146,19.63963963963964,13.845599178,13.845599178082127,,13.242677057459076
AIXGn.DE,2010-10-31,2010-10-29,2,15.146132731,15.129032258064516,11.295292015,11.295292015192818,,11.11428336533998
AIXGn.DE,2010-11-30,2010-11-30,0,15.162279994,15.145161290322582,11.307333904,11.307333904334815,,11.126132281507722
AIXGn.DE,2010-12-31,2010-12-30,1,17.829807848,17.809677419354838,13.310729336,13.310729335909947,,13.083573232418345
AIXGn.DE,2011-01-31,2011-01-31,0,19.46714032,19.44516129032258,14.533069451,14.533069450618576,,14.285053331827166
AIXGn.DE,2011-02-28,2011-02-28,0,19.295979332,19.274193548387096,14.405290306,14.405290306477392,,14.159454820449124
AIXGn.DE,2011-03-31,2011-03-31,0,16.329626419,16.260526315789473,21.237782175,21.23778217529808,,20.957111365477083
AIXGn.DE,2011-04-30,2011-04-29,1,13.757983691,13.714285714285714,30.950539516,30.950539516274148,,30.656055183920394
AIXGn.DE,2011-05-31,2011-05-31,0,13.244447841,13.202380952380953,29.795267642,29.795267641968774,,29.511775346326147
AIXGn.DE,2011-06-30,2011-06-30,0,11.240463759,11.204761904761904,25.349325902,25.349325901667108,,25.046422863807184
AIXGn.DE,2011-07-31,2011-07-29,2,9.115354373,8.536363636363637,22.477818131,22.477818130674066,,22.248274221064882
AIXGn.DE,2011-08-31,2011-08-31,0,7.574286741,7.093181818181818,18.677654522,18.67765452231996,,18.486917956321484
AIXGn.DE,2011-09-30,2011-09-30,0,5.324570685,4.986363636363636,13.131017113,13.13101711263465,,12.995930149365376
AIXGn.DE,2011-10-31,2011-10-31,0,6.817363953,6.237804878048781,12.496610634,-67.63796045534265,,-69.17032907048872
AIXGn.DE,2011-11-30,2011-11-30,0,6.457503099,5.908536585365853,,-64.06762823189321,,-65.51910935415793
AIXGn.DE,2011-12-31,2011-12-30,1,6.564128537,6.0060975609756095,,-65.12550444624878,,-66.60095223307076
AIXGn.DE,2012-01-31,2012-01-31,0,6.867344627,6.283536585365854,,-68.1338399308217,,-69.6774429199791
AIXGn.DE,2012-02-29,2012-02-29,0,8.306788042,7.600609756097561,,-82.41516882461774,,-84.28232178530223
AIXGn.DE,2012-03-31,2012-03-30,1,16.542324792,14.043010752688172,,-209.5106544712372,,-206.91768471695084
AIXGn.DE,2012-04-30,2012-04-30,0,94.166893548,46.116666666666674,,-56.07075425454473,-72.81578947368422,-55.29386342481472
AIXGn.DE,2012-05-31,2012-05-31,0,80.349850259,39.35,,-47.84353118719878,-62.13157894736842,-47.18063301264458
AIXGn.DE,2012-06-30,2012-06-29,1,76.640348489,37.53333333333333,,-45.63474469867536,-59.26315789473684,-45.002450463564415
AIXGn.DE,2012-07-31,2012-07-31,0,70.106180234,-31.558823529411764,,-16.346121782329195,-16.257575757575758,-16.148044979940003
AIXGn.DE,2012-08-31,2012-08-31,0,,-34.61764705882353,,-17.93046163821199,-17.833333333333332,-17.713186338666713
AIXGn.DE,2012-09-30,2012-09-28,2,,-30.51470588235294,,-15.805313466138436,-15.719696969696969,-15.613789996913095
AIXGn.DE,2012-10-31,2012-10-31,0,,-9.153153153153152,,-14.599758254885783,,-14.427905126488785
AIXGn.DE,2012-11-30,2012-11-30,0,,-8.662162162162161,,-13.816601931173976,,-13.653967302282446
AIXGn.DE,2012-12-31,2012-12-28,3,,-7.999099099099098,,-12.758981648142855,,-12.608796222253337
AIXGn.DE,2013-01-31,2013-01-31,0,,-9.054054054054054,,-14.451182790687836,,-14.271697492245304
AIXGn.DE,2013-02-28,2013-02-28,0,,-7.090277777777779,,-23.01578320467759,,-22.757320806656395
AIXGn.DE,2013-03-31,2013-03-28,3,,-7.854166666666667,,-25.495446429471233,,-25.20913793567912
